id,budget,popularity,popularity2,rating,release_year,revenue,theatrical,theatrical_limited,vote_average,vote_count,release_month,release_day,genders_0_crew,genders_1_crew,genders_2_crew,_collection_name,_num_Keywords,_num_cast,release_dayofweek,release_quarter,_budget_runtime_ratio,_budget_popularity_ratio,_budget_year_ratio,_releaseYear_popularity_ratio,_releaseYear_popularity_ratio2,meanruntimeByYear,meanPopularityByYear,meanBudgetByYear,_popularity_theatrical_ratio,_budget_theatrical_ratio,_popularity_totalVotes_ratio,_totalVotes_releaseYear_ratio,_budget_totalVotes_ratio,_rating_popularity_ratio,_rating_totalVotes_ratio,_budget_rating_ratio,_runtime_rating_ratio,has_homepage,isbelongs_to_collectionNA,isTaglineNA,isOriginalLanguageEng,isTitleDifferent,isMovieReleased,original_title_letter_count,original_title_word_count,title_word_count,overview_word_count,tagline_word_count,production_countries_count,production_companies_count,cast_count,crew_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War
11,13.81551156,14.774066,0,0,1976,117235147,11,0,5.4,1400,11,21,12,2,17,451,16,37,6,4,0.116096736,0.935119117,0.00000354,133.7478796,0.007476754,0,0,0,0.744547913,1.255955596,94.76064341,0.708502024,0.009868223,0,0,0,0,1,0,0,1,0,1,5,1,1,54,7,1,1,37,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,10.54375,0,0,1987,22642033,3,0,6.1,2965,7,10,1,0,1,443,6,14,4,3,0,0,0,188.4528749,0.005306366,0,0,0,0.284528749,0,281.2092472,1.492199295,0,0,0,0,0,1,0,0,1,0,1,42,8,8,50,2,1,4,14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16.52356083,20.726578,0,0,1999,356296601,50,2,7,5246,9,15,66,15,28,1,21,40,2,3,0.135439023,0.797216059,0.00000414,96.4462151,0.010368473,0,0,0,2.412361558,0.330471217,253.1049747,2.624312156,0.003149745,0,0,0,0,0,0,0,1,0,1,15,2,2,26,2,1,2,40,109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,17.78580249,13.314233,0,0,2005,95226116,9,0,5.9,2311,3,4,2,3,13,126,8,59,4,1,0.15072714,1.335848824,0.00000442,150.590725,0.006640515,0,0,0,0.675968342,1.976200277,173.5736486,1.152618454,0.00769615,0,0,0,0,1,0,0,1,0,1,7,2,2,23,8,1,4,59,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,18.44048338,20.666063,0,0,2002,358372926,52,0,6.5,6359,6,20,109,9,38,1,9,23,3,2,0.127175747,0.892307518,0.0000046,96.87379739,0.010322709,0,0,0,2.51620253,0.35462468,307.7025363,3.176323676,0.002899903,0,0,0,0,1,0,0,1,0,1,15,2,2,33,9,1,7,23,156,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
16,13.12236538,1.018477,0,0,2010,192864,3,0,6.3,1630,10,6,24,0,1,1,2,13,2,4,0.135282117,12.88430213,0.00000325,1973.534994,0.000506705,0,0,0,2.945574618,4.374121792,1600.428876,0.810945274,0.008050531,0,0,0,0,0,0,0,0,1,1,7,1,1,53,13,1,1,13,25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,17.07360713,6.336927,0,0,2005,57891803,7,0,7.4,11776,8,4,16,10,9,1,4,24,3,3,0.200865966,2.694303901,0.00000425,316.3994157,0.003160562,0,0,0,1.104636364,2.439086733,1858.313975,5.873316708,0.001449865,0,0,0,0,1,0,0,1,0,1,7,2,2,101,3,1,3,24,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,0,4.183558,0,0,2013,1234254,8,0,6.4,4948,12,25,24,3,4,1,2,19,2,4,0,0,0,481.1693778,0.00207827,0,0,0,1.9122479,0,1182.725326,2.458022851,0,0,0,0,0,1,0,0,1,0,1,19,3,3,50,10,1,4,19,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
19,15.89495222,6.496259,0,0,2011,1749457,5,0,6.2,4160,2,2,0,0,2,1,7,23,2,1,0.165572419,2.446785484,0.00000393,309.5627807,0.003230363,0,0,0,0.769673746,3.178990445,640.3685567,2.068622576,0.003820902,0,0,0,0,1,0,0,1,0,1,11,2,2,53,5,3,4,23,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,17.28124649,11.359659,0,0,2005,85167639,8,0,7.1,4760,8,2,8,0,9,666,5,10,1,3,0.198635017,1.521282152,0.0000043,176.501777,0.005665665,0,0,0,0.704246492,2.160155812,419.0266627,2.374064838,0.003630514,0,0,0,0,1,0,0,1,0,1,13,2,2,52,10,1,7,10,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21,18.19753721,12.000579,0,0,1998,136159423,40,0,6.5,6586,4,3,90,5,25,1,3,20,4,2,0.139981055,1.516388268,0.00000456,166.4919668,0.006006296,0,0,0,3.333172508,0.45493843,548.8068534,3.296296296,0.002763064,0,0,0,0,1,0,0,1,0,1,13,3,3,47,3,1,4,20,120,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22,15.20180517,7.99229,0,0,1982,36690067,5,0,6.2,1398,8,13,2,1,8,229,9,16,4,3,0.160019002,1.902058755,0.00000387,247.9889994,0.004032437,0,0,0,0.625602925,3.040361034,174.9185778,0.705348133,0.010873967,0,0,0,0,1,0,0,1,0,1,24,5,5,39,9,1,2,16,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23,0,7.820787,0,0,2012,100345,8,0,7.6,4524,7,28,4,1,14,705,13,30,5,3,0,0,0,257.2631118,0.003887071,0,0,0,1.022914957,0,578.4584083,2.248508946,0,0,0,0,0,0,0,0,1,0,1,5,1,1,32,4,1,3,30,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24,0,1.323333,0,0,2011,17011,1,0,5.8,1303,9,2,6,1,3,1,0,19,4,3,0,0,0,1519.647738,0.000658047,0,0,0,0.755667697,0,984.6350087,0.64793635,0,0,0,0,0,0,0,0,1,0,1,7,1,1,124,4,1,3,19,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
25,0,7.434577,0,0,2006,4947717,5,0,6.6,2337,9,9,2,3,5,1,3,13,5,3,0,0,0,269.8203274,0.00370617,0,0,0,0.672533219,0,314.3420265,1.165004985,0,0,0,0,0,0,0,0,1,0,1,11,2,2,35,13,1,2,13,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,0,1.252367,0,0,1992,8403433,1,0,7.5,7562,10,23,6,2,6,1,0,15,4,4,0,0,0,1590.588062,0.000628698,0,0,0,0.798487983,0,6038.166129,3.796184739,0,0,0,0,0,1,0,0,1,0,1,11,2,2,80,7,2,4,15,14,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
27,16.11809575,4.305735,0,0,1997,13835130,4,0,7.1,7241,9,8,2,8,8,1,4,6,0,3,0.146528143,3.743401707,0.00000404,463.8000249,0.002156102,0,0,0,0.92899354,4.029523938,1681.710556,3.625938908,0.002225949,0,0,0,0,1,0,0,1,0,1,20,3,3,22,7,1,4,6,18,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
28,16.21340592,10.841891,0,0,2013,7847000,9,0,5.5,2114,9,7,10,2,3,1,3,24,5,3,0.174337698,1.495440779,0.000004,185.6687178,0.005385937,0,0,0,0.830113492,1.801489547,194.9844358,1.05017387,0.007669539,0,0,0,0,1,0,0,1,0,1,7,2,2,92,5,2,3,24,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
29,15.60727019,6.759181,0,0,1986,5849647,2,0,6.5,8662,8,8,15,0,3,1,6,33,4,3,0.185800836,2.30904753,0.00000396,293.82258,0.003403414,0,0,0,0.295893837,7.803635097,1281.516207,4.361530715,0.001801809,0,0,0,0,1,0,0,1,0,1,27,4,4,31,8,1,4,33,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,17.62217307,7.81862,0,0,2002,94935764,7,1,6.9,7604,4,7,2,1,5,1,4,11,6,2,0.198001945,2.253872559,0.0000044,256.0554164,0.003905405,0,0,0,0.895298659,2.517453296,972.5501431,3.798201798,0.002317487,0,0,0,0,1,0,0,1,0,1,14,2,2,79,14,1,1,11,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,16.38045999,16.086919,0,0,2011,426480871,21,0,6.7,4321,11,2,30,0,4,1,7,32,2,4,0.146254107,1.018247185,0.00000405,125.0083997,0.007999462,0,0,0,1.30540845,0.780021904,268.6033292,2.148682248,0.003790896,0,0,0,0,1,0,0,0,1,1,12,1,2,29,17,1,8,32,34,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,0,5.69586,0,0,2005,36000000,6,1,6.8,8806,5,2,7,2,9,1,15,14,0,2,0,0,0,352.0100564,0.002840828,0,0,0,1.053396678,0,1546.03519,4.39201995,0,0,0,0,0,0,0,0,0,0,1,5,1,1,15,0,5,15,14,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
33,18.31532024,13.412445,0,0,2015,146936910,37,0,6.4,4645,10,21,68,6,18,1,4,22,2,4,0.17278604,1.365546717,0.00000451,150.2336077,0.0066563,0,0,0,2.758632002,0.495008655,346.3201527,2.305210918,0.003943018,0,0,0,0,0,0,0,1,0,1,21,4,4,121,2,1,7,22,92,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,0,8.254856,0,0,2014,7171,2,0,6.3,3525,10,2,44,5,10,539,4,31,3,4,0,0,0,243.9776054,0.004098737,0,0,0,0.242281634,0,427.0213799,1.750248262,0,0,0,0,0,1,0,0,1,0,1,15,4,4,41,4,5,3,31,59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,18.75715299,9.718111,0,0,2007,258022233,10,0,7,3528,8,8,3,2,13,457,1,18,2,3,0.20612256,1.930123353,0.00000466,206.5216172,0.004842108,0,0,0,1.029006563,1.875715299,363.0335155,1.757847534,0.005316653,0,0,0,0,1,0,0,1,0,1,11,3,3,60,4,1,1,18,18,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
36,17.21670797,8.234382,0,0,2012,40346186,42,0,6,3138,4,16,16,3,15,1,1,15,0,2,0.183156468,2.090831828,0.00000425,244.3413483,0.004092635,0,0,0,5.100564924,0.409921618,381.085065,1.559642147,0.005486523,0,0,0,0,0,0,0,1,0,1,4,1,1,36,8,1,5,15,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
37,0,2.100499,0,0,2000,151559,5,0,5.8,3095,1,28,2,0,0,1,14,15,4,1,0,0,0,952.1547023,0.00105025,0,0,0,2.380386756,0,1473.459402,1.5475,0,0,0,0,0,1,0,0,1,0,1,10,2,2,19,11,3,3,15,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,17.72753358,13.676444,0,0,1995,189859560,7,0,5.7,3530,3,10,0,2,11,1,8,14,4,1,0.139586879,1.296209277,0.00000445,145.8712513,0.00685536,0,0,0,0.511828952,2.532504798,258.1080287,1.769423559,0.005021964,0,0,0,0,1,0,0,1,0,1,8,1,1,47,18,1,4,14,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
39,0,0.32926,0,0,2013,92100,2,0,6.5,4179,9,13,0,0,2,1,0,5,4,3,0,0,0,6113.70953,0.000163567,0,0,0,6.074227055,0,12692.09743,2.076005961,0,0,0,0,0,0,0,0,1,0,1,18,3,3,16,9,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,15.15051189,3.055936,0,0,1965,14873,2,0,6.3,2841,4,7,5,0,7,1,5,14,1,2,0.123174893,4.957732062,0.00000392,643.0108484,0.001555184,0,0,0,0.654463968,7.575255944,929.6660663,1.445801527,0.00533281,0,0,0,0,1,0,0,1,0,1,12,2,2,42,0,1,2,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,0,2.941626,0,0,2006,163000,2,0,5.8,2033,4,26,0,0,1,136,2,6,2,2,0,0,0,681.9357729,0.001466414,0,0,0,0.679896085,0,691.1143701,1.013459621,0,0,0,0,0,0,0,0,1,0,1,15,2,2,59,10,1,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,14.91412318,9.718713,0,0,1967,16217773,2,0,5.1,2487,6,22,11,0,17,1,12,32,2,2,0.118366057,1.534578002,0.00000385,202.3930535,0.004940881,0,0,0,0.205788565,7.45706159,255.8980803,1.264361973,0.005996833,0,0,0,0,1,0,0,1,0,1,14,3,3,78,8,1,2,32,28,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
43,17.03438642,2.971999,0,0,2000,24362772,3,0,7.6,4597,3,3,1,4,7,1,10,11,4,1,0.1577258,5.731625893,0.00000426,672.9477365,0.001486,0,0,0,1.009421605,5.678128808,1546.770372,2.2985,0.003705544,0,0,0,0,1,0,0,1,0,1,19,4,4,54,6,1,2,11,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,15.60727019,9.383088,0,0,2014,1020921,11,0,5.9,2463,9,5,5,1,6,1,5,32,4,3,0.169644241,1.66334049,0.00000385,214.6414912,0.004658931,0,0,0,1.172321948,1.418842745,262.4935416,1.222939424,0.006336691,0,0,0,0,1,0,0,1,0,1,12,3,3,29,5,1,3,32,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,16.52356083,5.615303,0,0,2005,47175038,6,0,7.3,4176,2,4,4,5,3,1,6,10,4,1,0.187767737,2.942594696,0.00000411,357.0599841,0.00280065,0,0,0,1.068508681,2.753926804,743.6820417,2.082793017,0.003956791,0,0,0,0,0,0,0,1,0,1,16,3,3,77,4,1,3,10,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,15.17823968,2.382068,0,0,2009,4300000,3,0,6.7,5560,10,9,7,0,0,1,11,15,4,4,0.159770944,6.371875059,0.00000376,843.3848236,0.001185698,0,0,0,1.259409891,5.059413226,2334.106331,2.767546043,0.002729899,0,0,0,0,1,0,0,0,1,1,13,3,3,35,6,1,2,15,7,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
47,18.19753721,16.646029,0,0,2006,660940780,71,0,7.5,6032,3,23,7,0,3,292,11,42,3,1,0.199972936,1.093205905,0.00000452,120.5092217,0.00829812,0,0,0,4.265281528,0.256303341,362.3687067,3.006979063,0.003016833,0,0,0,0,0,0,0,1,0,1,21,4,4,55,6,1,2,42,10,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,17.59970021,20.328822,0,0,2015,155760117,49,3,7.4,4418,12,25,52,8,17,1,8,18,4,4,0.105387426,0.86575111,0.00000433,99.12035237,0.010088745,0,0,0,2.410370852,0.359177555,217.3269066,2.192555831,0.003983635,0,0,0,0,0,0,0,1,0,1,17,3,3,19,10,1,3,18,77,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
49,0,8.984386,0,0,2017,653951,7,0,5.5,2598,3,24,21,2,8,1,8,44,4,1,0,0,0,224.5005947,0.004454331,0,0,0,0.779129481,0,289.1683416,1.288051562,0,0,0,0,0,1,0,0,1,0,1,6,1,1,13,0,1,1,44,31,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,17.45309674,8.105708,0,0,1994,120000000,8,0,7.3,3769,11,17,3,1,11,504,5,17,3,4,0.1479076,2.15318597,0.00000439,245.9994858,0.004065049,0,0,0,0.98695882,2.181637093,464.9809739,1.890170512,0.004630697,0,0,0,0,1,0,0,1,0,1,22,3,3,39,2,1,1,17,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
51,13.23569385,1.572904,0,0,2008,1500000,2,0,6.2,2317,1,30,2,0,0,1,10,9,2,1,0.129761704,8.414813522,0.00000328,1276.619552,0.000783319,0,0,0,1.271533418,6.617846924,1473.071465,1.153884462,0.005712427,0,0,0,0,0,0,0,0,1,1,20,3,2,138,0,1,0,9,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
52,16.30041729,4.473327,0,0,1965,25333333,4,0,6.7,4794,7,1,0,0,6,1,5,17,2,3,0.101877608,3.643913644,0.00000422,439.2703686,0.002276502,0,0,0,0.894189045,4.075104323,1071.685571,2.439694656,0.00340017,0,0,0,0,1,0,0,1,0,1,14,3,3,57,7,1,1,17,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,1.012665,0,0,1980,11000000,2,0,6.1,3299,6,24,6,0,1,1,5,13,1,2,0,0,0,1955.236924,0.000511447,0,0,0,1.974986792,0,3257.740714,1.666161616,0,0,0,0,0,1,0,0,1,0,1,29,6,6,20,11,1,1,13,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,0,5.410839,0,0,1988,17514553,1,0,5.7,2495,1,15,3,0,1,1,1,9,4,1,0,0,0,367.4106733,0.00272175,0,0,0,0.184814222,0,461.1114838,1.255030181,0,0,0,0,0,0,0,0,1,0,1,9,2,2,68,4,1,1,9,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
55,16.81124288,8.759801,0,0,2016,46069568,17,1,6.6,1736,2,19,15,0,6,1,12,30,4,1,0.157114419,1.91913525,0.00000414,230.1422144,0.004345139,0,0,0,1.940683356,0.98889664,198.178018,0.861111111,0.009683896,0,0,0,0,1,0,0,1,0,1,5,1,1,59,10,1,4,30,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,9.122718,0,0,1993,36448200,2,0,6.7,4641,7,2,0,1,2,1,7,9,4,3,0,0,0,218.4655933,0.00457738,0,0,0,0.219232908,0,508.729964,2.328650276,0,0,0,0,0,1,0,0,1,0,1,10,3,3,81,4,1,1,9,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
57,0,2.94798,0,0,2009,1056938,3,0,6.6,2568,8,5,1,2,0,1,3,9,2,3,0,0,0,681.4835922,0.001467387,0,0,0,1.017645981,0,871.10496,1.278247885,0,0,0,0,0,0,0,0,0,1,1,7,1,3,129,0,2,1,9,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,18.6438243,17.038824,0,0,1997,238207122,39,0,7.8,6296,6,20,80,7,18,75,9,14,4,2,0.149150594,1.09419666,0.00000467,117.2029243,0.00853221,0,0,0,2.28889036,0.478046777,369.5090694,3.152729094,0.002961217,0,0,0,0,1,0,0,1,0,1,14,3,3,43,5,2,2,14,105,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
59,0,1.882446,0,0,2008,119563,1,0,6.1,783,6,24,1,0,0,1,9,5,1,2,0,0,0,1066.697265,0.000937473,0,0,0,0.531223738,0,415.9481866,0.389940239,0,0,0,0,0,0,0,0,1,0,1,19,4,4,67,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
60,16.45456796,3.909079,0,0,2002,25482931,2,0,5.6,4903,3,8,0,0,1,1,20,7,4,1,0.173205979,4.209320906,0.00000411,512.1410951,0.001952587,0,0,0,0.511629466,8.22728398,1254.259635,2.449050949,0.00335602,0,0,0,0,1,0,0,1,0,1,23,4,4,166,7,1,1,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,18.82614586,23.065078,0,0,2006,599045960,20,0,6.6,1095,11,14,104,3,19,304,10,79,1,4,0.130737124,0.816218608,0.00000468,86.97130788,0.011498045,0,0,0,0.867111744,0.941307293,47.47436796,0.545862413,0.017192827,0,0,0,0,0,0,0,1,0,1,13,2,2,79,9,5,3,79,126,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,15.20180517,1.801071,0,0,1956,14400000,4,0,5.2,2768,5,30,1,0,8,1,2,15,1,2,0.144779097,8.440425263,0.00000397,1086.020484,0.000920793,0,0,0,2.220900786,3.800451292,1536.863344,1.415132924,0.005491982,0,0,0,0,1,0,0,1,0,1,7,1,1,32,15,1,1,15,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,0,6.381612,0,0,1998,25232289,24,0,5.5,2430,1,16,30,2,16,1,16,10,4,1,0,0,0,313.0870382,0.003194,0,0,0,3.760805264,0,380.7815329,1.216216216,0,0,0,0,0,1,0,0,1,0,1,6,1,1,28,16,1,2,10,48,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
64,15.42494867,7.743144,0,0,1989,14000000,2,0,6.7,2629,7,28,0,1,6,229,10,16,4,3,0.154249487,1.99207824,0.0000039,256.8724022,0.003892983,0,0,0,0.258293014,7.712474335,339.5261666,1.321769734,0.00586723,0,0,0,0,1,0,0,1,0,1,48,8,8,74,6,1,3,16,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
65,16.30041729,11.160699,0,0,2013,17654912,14,0,6.4,4721,9,21,50,5,14,1,11,14,5,3,0.141742759,1.46051939,0.00000402,180.365047,0.005544311,0,0,0,1.254401718,1.164315521,423.0021793,2.345255837,0.003452747,0,0,0,0,1,0,0,1,0,1,8,1,1,28,15,1,2,14,69,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,14.22097633,8.822276,0,0,1988,11806119,7,0,8.2,12002,2,26,5,0,7,95,6,9,4,1,0.15457583,1.611939632,0.0000036,225.3386768,0.004437765,0,0,0,0.793446045,2.031568048,1360.419919,6.03722334,0.001184884,0,0,0,0,1,0,0,1,0,1,10,1,1,40,7,1,1,9,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,16.30041729,5.145185,0,0,2010,204940,3,0,7.7,6870,1,14,2,3,7,1,2,16,3,1,0.15092979,3.168091583,0.00000403,390.656507,0.002559794,0,0,0,0.583069413,5.43347243,1335.228957,3.417910448,0.002372695,0,0,0,0,1,0,0,1,0,1,13,2,2,14,9,1,2,16,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,6.303552,0,0,2013,154120,6,0,6,1423,10,4,4,0,1,1,5,7,4,4,0,0,0,319.3437605,0.003131422,0,0,0,0.951844294,0,225.7457383,0.706905117,0,0,0,0,0,1,0,0,0,1,1,3,1,4,12,0,3,3,7,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,14.50865824,14.284787,0,0,1962,13129846,10,0,7.4,8776,12,25,20,3,11,1,17,56,0,4,0.112470219,1.015672004,0.00000377,137.3489153,0.007280727,0,0,0,0.70004544,1.450865824,614.3598781,4.472986748,0.00165322,0,0,0,0,1,0,0,1,0,1,21,4,4,128,0,1,1,56,34,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
